Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Gross Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,67969,49560,66552,33630,47790,49828,50408,99089,51212,49558,29736,54516,51212,29736,42904,24450,9912,,1652,31388,22562,14160,,877824,Gross Sales,32
Gross Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,70540,66906,59772,54370,54520,61124,42352,50516,55686,97138,81998,56168,57820,94164,108702,100111,148267,97468,39648,37996,26432,54575,23010,1539282,Gross Sales,33
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,317612,540663,177251,475068,262727,307715,269881,243818,463057,373293,442235,268170,244658,543965,262314,351404,324530,309396,396834,302670,147972,280870,45401,7351502,Gross Sales,34
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,19057,30090,20060,40120,79237,52805,26178,18054,9027,27081,72216,54162,36108,18054,43778,18054,54162,27081,9027,18054,46020,33394,16700,768519,Gross Sales,35
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,297714,481113,189921,300281,366921,282315,90049,224146,702234,260411,138724,260411,163061,290363,90049,194700,154008,297356,287994,98973,128989,498919,165495,5964143,Gross Sales,36
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,17110,17110,,17110,49560,32450,32450,,,,,16225,32450,16225,16225,,,16225,,32450,,,,295590,Gross Sales,37
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,242136,408605,257270,242136,252225,573480,81243,76464,162486,,,248508,152928,617022,253287,75000,,181602,,172044,75000,80801,,4152236,Gross Sales,38
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,451785,150000,,301785,600384,,,140715,,,,,150096,,,150096,827404,,,,230192,,3002457,Gross Sales,39
Gross Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,31270,,14072,14072,14072,,14075,,,,,,129774,Gross Sales,40
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,237180,189390,127440,127440,47790,269748,74340,174286,386568,133812,44604,223020,,,,,,,,,,,,2035618,Gross Sales,41
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,336533,270825,237971,65708,120761,120938,164247,165064,137281,109988,118487,305614,217198,,,,,,,,,,,2370616,Gross Sales,42
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,63720,95580,147028,62776,28084,118944,29736,29736,,,,,,,,,,,,,575604,Gross Sales,43
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Gross Sales,44
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,12626,44191,18939,31565,37878,35046,39719,32710,29205,52569,29205,52569,17523,,,,,,,,,,,433744,Gross Sales,45
Gross Sales,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,31294,51755,10832,21665,24072,58233,64334,62670,126449,171926,44368,64112,159281,,,,,,,,,,,890990,Gross Sales,46
Gross Sales,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,97350,73986,46020,28320,33630,37996,28084,56168,69384,80948,,,,,,,,,,,,,,551886,Gross Sales,47
Gross Sales,"Supreme HQ, Bandra",Others,Others,1651,1165,265,205,528,,1210,348,,,,222,,,,,,,,,,,,5594,Gross Sales,48
Gross Sales,"Supreme HQ, Bandra",Privates,Studio Private Class,17700,,,,55460,,,,,,,,5900,,,,,,,,,,,79060,Gross Sales,49
Gross Sales,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,20000,,,,,,,,,,,,,,,,,,,20000,Gross Sales,50
Gross Sales,"Supreme HQ, Bandra",Retail,Retail,50222,59773,71563,33020,15548,23439,18326,68059,63237,44057,22582,16615,76737,,,,,,,,,,,563178,Gross Sales,51
Gross Sales,"Supreme HQ, Bandra",Sessions/Single Classes,Session,141600,121776,86730,54870,66788,66080,45926,79177,39648,23128,9912,1652,,,,,,,,,,,,737287,Gross Sales,52
Gross Sales,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,51330,59840,56410,30090,44250,36344,37996,32710,70706,57242,57820,61124,24780,,,,,,,,,,,620641,Gross Sales,53
Gross Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,347304,434835,253730,314913,247431,236251,198417,224480,639811,319323,303511,344708,132839,,,,,,,,,,,3997550,Gross Sales,54
Gross Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,10030,20060,19057,,,25724,36108,9027,43778,54162,33394,34751,61360,,,,,,,,,,,347451,Gross Sales,55
Gross Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,378755,764847,228419,405507,223286,433208,170363,245809,423473,260411,167929,170363,85181,,,,,,,,,,,3957548,Gross Sales,56
Gross Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,80000,,,85757,85757,81243,,81243,248508,,,,86022,,,,,,,,,,,748529,Gross Sales,57
Gross Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,757545,165495,,,300192,,,,,,,,,,,,,,,,,,1223232,Gross Sales,58
Net Sales,Kenkere House,Class Packages,Studio 10 Single Class Package,,43200,9600,45600,43200,,51700,,8800,19800,,9900,11000,,,,,,,,,,,242800,Net Sales,59
Net Sales,Kenkere House,Class Packages,Studio 12 Class Package,20625,80625,33750,143750,57500,72885,44635,54240,30510,137860,53675,,11300,33900,22600,45200,113000,30510,20905,,,,,1007470,Net Sales,60
Net Sales,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,16780,,,,,,,16780,Net Sales,61
Net Sales,Kenkere House,Class Packages,Studio 4 Class Package,4450,13350,,4450,8900,16200,20250,20250,8100,8100,27540,20250,4050,24300,16200,16200,20250,27945,11340,,,,,272125,Net Sales,62
Net Sales,Kenkere House,Class Packages,Studio 8 Class Package,92545,134045,71380,41500,48140,57375,86625,64125,57750,86250,78375,42750,36000,6750,37500,76500,120000,43200,6600,,,,,1187410,Net Sales,63
Net Sales,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,3600,7200,2400,4560,20400,1100,3300,,,,,,,,,,,,,,,,,42560,Net Sales,64
Net Sales,Kenkere House,Others,Others,284,,,,2000,,,,,,,,,,,,,,,,,,,2284,Net Sales,65
Net Sales,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Net Sales,66
Net Sales,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,3925,,,,,,,,,,,,,3925,Net Sales,67
Net Sales,Kenkere House,Retail,Retail,17165,8550,15481,15448,16380,9392,17339,34345,20524,18612,11164,25390,15768,5420,10579,10158,27228,17421,537,,,,,296901,Net Sales,68
Net Sales,Kenkere House,Sessions/Single Classes,Session,75200,22680,32400,18000,12000,,5500,21370,14300,12100,4653,1100,14300,22000,19800,20900,17600,14300,,,,,,328203,Net Sales,69
Net Sales,Kenkere House,Sessions/Single Classes,Studio Single Class,35760,51360,55200,63360,86160,44000,50380,34100,56100,59180,68200,53900,46200,55000,67100,62480,70400,38500,1100,,,,,998480,Net Sales,70
Net Sales,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,217535,134135,60465,141780,284950,130148,96478,146983,173530,71225,186480,98707,124750,137700,249500,108850,38850,36260,22792,,,,,2461117,Net Sales,71
Net Sales,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,14400,34550,11500,18700,23730,31300,5750,6600,19800,24700,45350,18950,66650,25550,18950,18100,37025,63250,11500,,,,,496355,Net Sales,72
Net Sales,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,32160,60300,225120,128640,34170,141930,160605,166208,100845,112050,33615,33615,98978,209160,97110,63495,37350,31748,32868,,,,,1799966,Net Sales,73
Net Sales,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,58725,,66555,,72600,58080,,,,,,54450,54450,,,,,,,,,,364860,Net Sales,74
Net Sales,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,18700,,,,,,,,,,,,,,,,,,,,,,18700,Net Sales,75
Net Sales,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,148800,,,,,,,,,,,,,,112800,,112800,112800,,,,,487200,Net Sales,76
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,121500,90000,84000,40500,54000,155200,26600,77000,77000,63000,,12600,12600,14000,,,,,,11200,,23000,,862200,Net Sales,77
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,109498,331853,250583,136955,128678,53323,104568,65095,238913,110800,78945,167585,130190,229910,90718,96950,69250,85870,102490,69250,69250,63018,24238,2807925,Net Sales,78
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,27000,54000,,54000,52932,50400,25200,49000,121800,25200,28000,,50400,25200,25200,98000,78400,50400,100800,99400,50400,120600,23400,1209732,Net Sales,79
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,38250,72000,,114750,38250,37800,,,186900,,,,37800,69800,37800,,75600,37800,,,,35700,,782450,Net Sales,80
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,37340,32100,69550,37450,32100,64350,19800,29700,34650,88627,74250,14850,54450,44550,44550,39600,54450,34650,9900,44550,49500,58410,9900,979277,Net Sales,81
Net Sales,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,90034,55790,79560,51000,78540,102460,118440,65800,141000,148990,204920,65800,100862,165440,122200,112800,122200,47000,35720,84600,103400,120320,26320,2243196,Net Sales,82
Net Sales,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,9400,,,9400,Net Sales,83
Net Sales,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,4500,9000,1500,1500,,,2800,1400,12600,,,,,,,,,,,,,,33300,Net Sales,84
Net Sales,"Kwality House, Kemps Corner",Others,Others,6193,6882,387,505,1575,96,40,968,348,1098,1724,1137,6418,1985,,1848,1043,,,,,,,32247,Net Sales,85
Net Sales,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,2,Net Sales,86
Net Sales,"Kwality House, Kemps Corner",Privates,Studio Private Class,5950,257500,5000,145000,106949,140000,,232500,72500,210000,190000,5000,110000,311000,205000,163902,283200,79000,141200,106200,195000,171000,,3135901,Net Sales,87
Net Sales,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,45000,,130500,4500,,81000,,,,,,,103500,,8918,89100,22500,9000,81000,27000,,117000,719018,Net Sales,88
Net Sales,"Kwality House, Kemps Corner",Retail,Retail,83056,37107,19002,48922,36834,19955,34551,24913,40957,23880,30026,13022,36160,29807,14679,20094,46044,25657,30028,34519,13055,39467,2297,704032,Net Sales,89
Net Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,57493,42000,56400,28500,40500,42016,42719,84091,43400,41998,25200,46200,43400,25200,36352,20720,9912,,1652,31388,22562,14160,,755862,Net Sales,90
Net Sales,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,59740,56700,50646,46000,46150,51800,35800,42704,47168,82320,69398,47600,49000,79800,92120,84840,125537,82600,33600,32200,22400,46250,19500,1303873,Net Sales,91
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,269163,458189,150213,402600,222650,260775,228713,206625,392392,316350,374775,227263,207338,460988,222300,297800,275025,262200,336300,256500,125400,238026,38475,6230056,Net Sales,92
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,16150,25500,17000,34000,67150,44750,22185,15300,7650,22950,61200,45900,30600,15300,37100,15300,45900,22950,7650,15300,39000,28300,14153,651288,Net Sales,93
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,252300,407723,160950,254475,310950,239250,76313,189954,594943,220688,117563,220688,138188,246070,76313,165000,130515,251996,244063,83875,109313,422813,140250,5054188,Net Sales,94
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,14500,14500,,14500,42000,27500,27500,,,,,13750,27500,13750,13750,,,13750,,27500,,,,250500,Net Sales,95
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,205200,346275,218025,205200,213750,486000,68850,64800,137700,,,210600,129600,522900,214650,63559,,153900,,145800,63559,68475,,3518844,Net Sales,96
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,382869,127119,,255750,508800,,,119250,,,,,127200,,,127200,701190,,,,195078,,2544455,Net Sales,97
Net Sales,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,11925,,,11925,,11925,,26500,,11925,11925,11925,,11928,,,,,,109978,Net Sales,98
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,201000,160500,108000,108000,40500,228600,63000,147700,327600,113400,37800,189000,,,,,,,,,,,,1725100,Net Sales,99
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,285198,229513,201670,55685,102340,102490,139193,139885,116340,93211,100413,258995,184067,,,,,,,,,,,2008997,Net Sales,100
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,54000,81000,124600,53200,23800,100800,25200,25200,,,,,,,,,,,,,487800,Net Sales,101
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,37800,,,,,,,,,,,,,,,,,37800,Net Sales,102
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,10700,37450,16050,26750,32100,29700,33660,27720,24750,44550,24750,44550,14850,,,,,,,,,,,367580,Net Sales,103
Net Sales,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,26520,43860,9180,18360,20400,49350,54520,53110,107160,145700,37600,54298,134984,,,,,,,,,,,755042,Net Sales,104
Net Sales,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,82500,62700,39000,24000,28500,32200,23800,47600,58800,68600,,,,,,,,,,,,,,467700,Net Sales,105
Net Sales,"Supreme HQ, Bandra",Others,Others,1651,1165,265,205,528,,1210,348,,,,222,,,,,,,,,,,,5594,Net Sales,106
Net Sales,"Supreme HQ, Bandra",Privates,Studio Private Class,15000,,,,47000,,,,,,,,5000,,,,,,,,,,,67000,Net Sales,107
Net Sales,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,16949,,,,,,,,,,,,,,,,,,,16949,Net Sales,108
Net Sales,"Supreme HQ, Bandra",Retail,Retail,44058,51885,62438,30052,14019,21048,16554,61531,56940,39630,20196,15053,68422,,,,,,,,,,,501826,Net Sales,109
Net Sales,"Supreme HQ, Bandra",Sessions/Single Classes,Session,120000,103200,73500,46500,56600,56000,38920,67109,33600,19600,8400,1400,,,,,,,,,,,,624829,Net Sales,110
Net Sales,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,43500,50660,47770,25500,37500,30800,32200,27720,59920,48510,49000,51800,21000,,,,,,,,,,,525880,Net Sales,111
Net Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,294325,368504,215025,266875,209688,200213,168150,190238,542213,268921,257213,292125,112575,,,,,,,,,,,3386062,Net Sales,112
Net Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,8500,17000,16150,,,21800,30600,7650,37100,45900,28300,29450,52000,,,,,,,,,,,294450,Net Sales,113
Net Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,320979,648175,193575,343650,189225,367125,144375,208313,358875,220688,142313,144375,72188,,,,,,,,,,,3353854,Net Sales,114
Net Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,67797,,,72675,72675,68850,,68850,210600,,,,72900,,,,,,,,,,,634347,Net Sales,115
Net Sales,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,641987,140250,,,254400,,,,,,,,,,,,,,,,,,1036637,Net Sales,116
Units Sold,Kenkere House,Class Packages,Studio 10 Single Class Package,,4,1,4,4,,5,,1,2,,1,1,,,,,,,,,,,23,Units Sold,117
Units Sold,Kenkere House,Class Packages,Studio 12 Class Package,2,7,3,15,5,7,4,5,3,13,5,,1,3,2,4,10,3,2,,,,,94,Units Sold,118
Units Sold,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,1,,,,,,,1,Units Sold,119
