Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Units Sold,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,1,,3,1,,2,,,,,,,5,,2,9,5,2,18,6,,26,80,Units Sold,146
Units Sold,"Kwality House, Kemps Corner",Retail,Retail,95,75,51,76,49,56,72,60,33,41,53,41,46,79,64,67,78,107,57,95,71,81,9,1456,Units Sold,147
Units Sold,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,38,28,37,19,26,31,28,103,31,30,17,33,31,18,26,15,6,,1,19,14,9,,560,Units Sold,148
Units Sold,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,40,38,34,31,31,37,26,31,34,59,50,34,35,57,66,61,91,59,24,23,16,35,15,927,Units Sold,149
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,19,34,11,34,16,19,17,16,30,23,28,17,15,35,17,23,21,20,27,19,9,18,3,471,Units Sold,150
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,2,3,2,4,8,6,3,2,1,3,8,6,4,2,5,2,6,3,1,2,6,4,2,85,Units Sold,151
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,6,11,4,6,8,6,2,6,16,6,3,6,4,7,2,4,4,7,7,3,3,12,4,137,Units Sold,152
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,1,1,,1,3,2,2,,,,,1,2,1,1,,,1,,2,,,,18,Units Sold,153
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,3,5,3,3,3,7,1,1,2,,,3,2,8,3,1,,2,,2,1,1,,51,Units Sold,154
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,3,1,,2,4,,,1,,,,,1,,,1,6,,,,2,,21,Units Sold,155
Units Sold,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1,,,1,,1,,2,,1,1,1,,1,,,,,,9,Units Sold,156
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,15,12,8,8,3,20,5,12,26,9,3,15,,,,,,,,,,,,136,Units Sold,157
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,20,16,15,4,8,8,11,11,9,7,8,22,15,,,,,,,,,,,154,Units Sold,158
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,2,3,5,2,1,4,1,1,,,,,,,,,,,,,19,Units Sold,159
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,1,,,,,,,,,,,,,,,,,1,Units Sold,160
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,2,7,3,5,6,6,7,6,5,9,5,9,3,,,,,,,,,,,73,Units Sold,161
Units Sold,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,3,5,1,2,2,6,6,6,12,16,4,6,16,,,,,,,,,,,85,Units Sold,162
Units Sold,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,55,42,26,16,19,23,17,34,42,49,,,,,,,,,,,,,,323,Units Sold,163
Units Sold,"Supreme HQ, Bandra",Others,Others,3,6,3,2,1,,3,1,,,,1,,,,,,,,,,,,20,Units Sold,164
Units Sold,"Supreme HQ, Bandra",Privates,Studio Private Class,3,,,,2,,,,,,,,1,,,,,,,,,,,6,Units Sold,165
Units Sold,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,4,,,,,,,,,,,,,,,,,,,4,Units Sold,166
Units Sold,"Supreme HQ, Bandra",Retail,Retail,41,67,61,84,28,37,33,62,59,54,36,27,51,,,,,,,,,,,640,Units Sold,167
Units Sold,"Supreme HQ, Bandra",Sessions/Single Classes,Session,74,68,43,30,37,38,28,87,23,13,5,1,,,,,,,,,,,,447,Units Sold,168
Units Sold,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,29,34,32,17,25,22,23,20,43,35,35,37,15,,,,,,,,,,,367,Units Sold,169
Units Sold,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,22,29,16,22,16,16,13,15,42,21,20,23,8,,,,,,,,,,,263,Units Sold,170
Units Sold,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,1,2,2,,,3,4,1,5,6,4,4,8,,,,,,,,,,,40,Units Sold,171
Units Sold,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,8,18,5,8,5,10,4,6,10,6,4,4,2,,,,,,,,,,,90,Units Sold,172
Units Sold,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,1,,,1,1,1,,1,3,,,,1,,,,,,,,,,,9,Units Sold,173
Units Sold,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,5,1,,,2,,,,,,,,,,,,,,,,,,8,Units Sold,174
Transactions,Kenkere House,Class Packages,Studio 10 Single Class Package,,4,1,4,4,,5,,1,2,,1,1,,,,,,,,,,,23,Transactions,175
Transactions,Kenkere House,Class Packages,Studio 12 Class Package,2,7,3,11,5,7,4,5,3,13,5,,1,3,2,4,10,3,2,,,,,90,Transactions,176
Transactions,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,1,,,,,,,1,Transactions,177
Transactions,Kenkere House,Class Packages,Studio 4 Class Package,1,3,,1,2,4,5,5,2,2,7,5,1,6,4,4,5,7,3,,,,,67,Transactions,178
Transactions,Kenkere House,Class Packages,Studio 8 Class Package,13,17,9,5,6,8,12,9,8,12,11,6,5,1,5,11,16,6,1,,,,,161,Transactions,179
Transactions,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,3,6,2,4,17,1,3,,,,,,,,,,,,,,,,,36,Transactions,180
Transactions,Kenkere House,Others,Others,1,,,,1,,,,,,,,,,,,,,,,,,,2,Transactions,181
Transactions,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Transactions,182
Transactions,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,1,,,,,,,,,,,,,1,Transactions,183
Transactions,Kenkere House,Retail,Retail,33,24,24,22,31,16,23,39,23,28,22,34,24,8,18,28,37,38,6,,,,,478,Transactions,184
Transactions,Kenkere House,Sessions/Single Classes,Session,41,19,23,14,10,,5,22,7,10,5,1,13,20,18,19,16,13,,,,,,256,Transactions,185
Transactions,Kenkere House,Sessions/Single Classes,Studio Single Class,29,41,46,51,72,40,46,31,51,54,61,49,42,50,61,57,62,35,1,,,,,879,Transactions,186
Transactions,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,18,11,5,8,23,11,8,12,14,6,16,8,11,12,22,10,3,3,2,,,,,203,Transactions,187
Transactions,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,2,5,2,3,4,5,1,1,3,4,7,3,11,4,3,3,6,11,2,,,,,80,Transactions,188
Transactions,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,1,2,7,4,1,4,5,5,3,3,1,1,3,7,3,2,1,1,1,,,,,55,Transactions,189
Transactions,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,1,,1,,1,1,,,,,,1,1,,,,,,,,,,6,Transactions,190
Transactions,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,1,,,,,,,,,,,,,,,,,,,,,,1,Transactions,191
Transactions,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,1,,,,,,,,,,,,,,1,,1,1,,,,,4,Transactions,192
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,9,5,5,3,4,15,2,6,6,5,,1,1,1,,,,,,1,,2,,66,Transactions,193
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,8,24,18,10,9,4,8,5,16,8,6,13,10,18,7,7,5,7,8,5,5,5,2,208,Transactions,194
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,1,2,,2,2,2,1,2,5,1,1,,2,1,1,3,3,2,4,4,2,5,1,47,Transactions,195
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,1,2,,3,1,1,,,5,,,,1,2,1,,2,1,,,,1,,21,Transactions,196
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,7,6,13,7,6,13,4,6,7,18,15,3,11,9,9,8,11,7,2,9,10,12,2,195,Transactions,197
Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10,7,8,5,8,11,12,7,15,16,22,7,11,18,13,12,13,5,4,9,11,13,3,240,Transactions,198
Transactions,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,1,,,1,Transactions,199
Transactions,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,3,6,1,1,,,2,1,9,,,,,,,,,,,,,,23,Transactions,200
Transactions,"Kwality House, Kemps Corner",Others,Others,13,12,4,3,7,2,2,3,1,5,5,6,2,2,,2,4,,,,,,,73,Transactions,201
Transactions,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,2,Transactions,202
Transactions,"Kwality House, Kemps Corner",Privates,Studio Private Class,1,3,1,2,3,4,,3,2,3,2,1,4,8,7,6,2,1,3,1,41,38,,136,Transactions,203
Transactions,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,1,,2,1,,1,,,,,,,3,,1,1,1,2,18,6,,2,39,Transactions,204
Transactions,"Kwality House, Kemps Corner",Retail,Retail,63,54,39,52,41,34,60,43,20,20,30,23,24,36,37,36,43,48,34,53,42,51,5,888,Transactions,205
Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,38,28,37,19,26,31,28,102,31,30,17,33,31,18,26,15,6,,1,19,14,9,,559,Transactions,206
Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,38,37,33,28,31,28,26,22,25,48,45,34,34,46,54,60,78,57,24,21,16,35,15,835,Transactions,207
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,18,34,11,22,16,19,17,16,30,23,28,17,15,35,17,23,21,20,27,19,9,18,3,458,Transactions,208
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,2,3,2,4,8,6,3,2,1,3,8,6,4,2,5,2,6,3,1,2,6,4,2,85,Transactions,209
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,6,11,4,6,8,6,2,6,16,6,3,6,4,7,2,4,4,7,7,3,3,12,4,137,Transactions,210
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,1,1,,1,3,2,2,,,,,1,2,1,1,,,1,,2,,,,18,Transactions,211
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,3,5,3,3,3,7,1,1,2,,,3,2,8,3,1,,2,,2,1,1,,51,Transactions,212
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,3,1,,2,4,,,1,,,,,1,,,1,6,,,,2,,21,Transactions,213
Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1,,,1,,1,,1,,1,1,1,,1,,,,,,8,Transactions,214
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,14,12,8,8,3,20,5,12,26,9,3,15,,,,,,,,,,,,135,Transactions,215
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,18,16,15,4,8,8,11,11,9,7,8,22,15,,,,,,,,,,,152,Transactions,216
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,2,3,5,2,1,4,1,1,,,,,,,,,,,,,19,Transactions,217
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,1,,,,,,,,,,,,,,,,,1,Transactions,218
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,2,7,3,5,6,6,7,6,5,9,5,9,3,,,,,,,,,,,73,Transactions,219
Transactions,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,3,5,1,2,2,6,6,6,12,16,4,6,16,,,,,,,,,,,85,Transactions,220
Transactions,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,55,42,26,16,19,23,17,34,42,49,,,,,,,,,,,,,,323,Transactions,221
Transactions,"Supreme HQ, Bandra",Others,Others,3,6,3,2,1,,3,1,,,,1,,,,,,,,,,,,20,Transactions,222
Transactions,"Supreme HQ, Bandra",Privates,Studio Private Class,2,,,,2,,,,,,,,1,,,,,,,,,,,5,Transactions,223
Transactions,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,1,,,,,,,,,,,,,,,,,,,1,Transactions,224
Transactions,"Supreme HQ, Bandra",Retail,Retail,33,41,43,53,23,24,22,44,44,40,34,20,39,,,,,,,,,,,460,Transactions,225
Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Session,74,68,43,30,37,38,28,86,23,13,5,1,,,,,,,,,,,,446,Transactions,226
Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,28,34,32,17,25,22,21,20,41,34,30,35,15,,,,,,,,,,,354,Transactions,227
Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,22,29,16,18,16,16,13,15,42,21,20,23,8,,,,,,,,,,,259,Transactions,228
Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,1,2,2,,,3,4,1,5,6,4,4,8,,,,,,,,,,,40,Transactions,229
Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,8,18,5,8,5,10,4,6,10,6,4,4,2,,,,,,,,,,,90,Transactions,230
Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,1,,,1,1,1,,1,3,,,,1,,,,,,,,,,,9,Transactions,231
Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,5,1,,,2,,,,,,,,,,,,,,,,,,8,Transactions,232
Unique Members,Kenkere House,Class Packages,Studio 10 Single Class Package,,4,1,4,4,,5,,1,2,,1,1,,,,,,,,,,,20,Unique Members,233
Unique Members,Kenkere House,Class Packages,Studio 12 Class Package,2,6,3,11,5,7,4,5,3,13,5,,1,3,2,4,10,3,2,,,,,56,Unique Members,234
Unique Members,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,1,,,,,,,1,Unique Members,235
Unique Members,Kenkere House,Class Packages,Studio 4 Class Package,1,3,,1,2,4,5,5,2,2,7,5,1,6,4,4,5,5,3,,,,,59,Unique Members,236
Unique Members,Kenkere House,Class Packages,Studio 8 Class Package,13,17,9,5,5,8,11,9,8,12,11,6,5,1,5,11,16,4,1,,,,,97,Unique Members,237
Unique Members,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,3,6,2,4,17,1,3,,,,,,,,,,,,,,,,,36,Unique Members,238
Unique Members,Kenkere House,Others,Others,1,,,,1,,,,,,,,,,,,,,,,,,,2,Unique Members,239
Unique Members,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Unique Members,240
Unique Members,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,1,,,,,,,,,,,,,1,Unique Members,241
Unique Members,Kenkere House,Retail,Retail,20,19,21,20,22,13,18,29,20,20,19,26,14,6,11,15,26,21,2,,,,,195,Unique Members,242
Unique Members,Kenkere House,Sessions/Single Classes,Session,36,14,19,9,10,,5,19,7,10,4,1,8,16,12,14,13,11,,,,,,164,Unique Members,243
Unique Members,Kenkere House,Sessions/Single Classes,Studio Single Class,19,24,30,34,43,20,34,24,35,35,36,30,22,26,39,35,39,22,1,,,,,299,Unique Members,244
Unique Members,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,18,11,5,8,23,9,7,12,14,6,16,8,11,12,21,10,3,3,2,,,,,125,Unique Members,245
Unique Members,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,2,5,2,3,4,5,1,1,3,4,6,3,9,4,2,3,6,11,2,,,,,64,Unique Members,246
Unique Members,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,1,2,7,4,1,4,5,5,3,3,1,1,3,7,3,2,1,1,1,,,,,29,Unique Members,247
Unique Members,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,1,,1,,1,1,,,,,,1,1,,,,,,,,,,5,Unique Members,248
Unique Members,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,1,,,,,,,,,,,,,,,,,,,,,,1,Unique Members,249
Unique Members,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,1,,,,,,,,,,,,,,1,,1,1,,,,,4,Unique Members,250
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,9,5,5,3,4,15,2,6,6,5,,1,1,1,,,,,,1,,2,,52,Unique Members,251
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,8,20,18,10,9,4,8,5,16,8,6,13,10,18,7,7,5,7,8,5,5,5,2,133,Unique Members,252
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,1,2,,2,2,2,1,2,5,1,1,,2,1,1,3,3,2,4,4,2,5,1,30,Unique Members,253
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,1,2,,3,1,1,,,5,,,,1,2,1,,2,1,,,,1,,19,Unique Members,254
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,7,5,13,7,5,13,4,6,7,17,15,3,10,9,9,8,11,7,2,8,7,9,2,124,Unique Members,255
Unique Members,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10,7,8,5,8,10,12,7,15,16,22,7,11,17,13,12,13,5,4,8,11,13,3,135,Unique Members,256
Unique Members,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,1,,,1,Unique Members,257
Unique Members,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,3,6,1,1,,,2,1,9,,,,,,,,,,,,,,23,Unique Members,258
Unique Members,"Kwality House, Kemps Corner",Others,Others,10,10,2,3,7,2,2,3,1,4,5,5,2,2,,2,2,,,,,,,51,Unique Members,259
Unique Members,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,1,1,2,Unique Members,260
Unique Members,"Kwality House, Kemps Corner",Privates,Studio Private Class,1,3,1,2,3,4,,3,1,3,2,1,4,5,4,3,2,1,3,1,3,3,,21,Unique Members,261
Unique Members,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,1,,2,1,,1,,,,,,,3,,1,1,1,1,1,1,,2,6,Unique Members,262
Unique Members,"Kwality House, Kemps Corner",Retail,Retail,48,34,23,34,28,23,32,31,18,16,25,18,17,23,20,22,26,25,23,31,27,30,5,267,Unique Members,263
Unique Members,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,32,24,30,15,21,24,17,76,24,22,15,19,18,15,19,10,6,,1,13,12,8,,276,Unique Members,264
Unique Members,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,32,27,26,19,25,24,16,18,20,36,32,27,28,30,34,37,48,39,19,11,13,25,15,312,Unique Members,265
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,18,31,11,20,16,19,17,16,29,22,28,17,15,33,17,23,21,20,27,19,9,18,3,229,Unique Members,266
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,2,3,2,4,8,6,2,2,1,3,7,6,4,2,4,2,6,3,1,2,6,4,2,60,Unique Members,267
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,6,11,4,6,8,6,2,6,16,6,3,6,4,7,2,4,4,7,7,3,3,12,4,83,Unique Members,268
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,1,1,,1,3,2,2,,,,,1,2,1,1,,,1,,1,,,,5,Unique Members,269
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,3,5,3,3,3,7,1,1,2,,,3,2,8,3,1,,2,,2,1,1,,37,Unique Members,270
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,3,1,,2,4,,,1,,,,,1,,,1,6,,,,2,,20,Unique Members,271
Unique Members,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1,,,1,,1,,1,,1,1,1,,1,,,,,,2,Unique Members,272
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,13,11,8,7,3,17,5,12,26,9,3,15,,,,,,,,,,,,89,Unique Members,273
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,18,15,14,4,8,8,11,11,9,7,8,22,15,,,,,,,,,,,119,Unique Members,274
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,2,3,5,2,1,4,1,1,,,,,,,,,,,,,16,Unique Members,275
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,1,,,,,,,,,,,,,,,,,1,Unique Members,276
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,2,6,3,5,6,6,7,6,5,9,4,9,3,,,,,,,,,,,59,Unique Members,277
Unique Members,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,3,5,1,2,2,5,6,6,11,16,4,6,16,,,,,,,,,,,61,Unique Members,278
Unique Members,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,55,42,26,16,19,23,17,34,41,49,,,,,,,,,,,,,,320,Unique Members,279
Unique Members,"Supreme HQ, Bandra",Others,Others,3,5,3,2,1,,3,1,,,,1,,,,,,,,,,,,19,Unique Members,280
Unique Members,"Supreme HQ, Bandra",Privates,Studio Private Class,1,,,,1,,,,,,,,1,,,,,,,,,,,3,Unique Members,281
Unique Members,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,1,,,,,,,,,,,,,,,,,,,1,Unique Members,282
Unique Members,"Supreme HQ, Bandra",Retail,Retail,24,33,28,33,20,14,16,36,37,35,28,19,20,,,,,,,,,,,231,Unique Members,283
Unique Members,"Supreme HQ, Bandra",Sessions/Single Classes,Session,52,47,29,25,30,32,22,71,21,10,4,1,,,,,,,,,,,,249,Unique Members,284
Unique Members,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,25,28,16,11,20,15,15,19,35,26,18,24,15,,,,,,,,,,,188,Unique Members,285
Unique Members,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,20,23,15,16,14,16,13,15,40,21,20,23,8,,,,,,,,,,,165,Unique Members,286
Unique Members,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,1,2,2,,,3,4,1,5,6,4,4,8,,,,,,,,,,,37,Unique Members,287
Unique Members,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,8,18,5,8,5,10,4,6,10,6,4,4,2,,,,,,,,,,,67,Unique Members,288
Unique Members,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,1,,,1,1,1,,1,3,,,,1,,,,,,,,,,,9,Unique Members,289
Unique Members,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,5,1,,,2,,,,,,,,,,,,,,,,,,8,Unique Members,290
Average Unit Value (AUV),Kenkere House,Class Packages,Studio 10 Single Class Package,,12744,11328,13452,12744,,12201,,10384,11682,,11682,12980,,,,,,,,,,,12457,Average Unit Value (AUV),291
Average Unit Value (AUV),Kenkere House,Class Packages,Studio 12 Class Package,12169,13591,13275,11308,13570,12286,13167,12801,12001,12513,12667,,13334,13334,13334,13334,13334,12001,12334,,,,,12647,Average Unit Value (AUV),292
Average Unit Value (AUV),Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,19800,,,,,,,19800,Average Unit Value (AUV),293
Average Unit Value (AUV),Kenkere House,Class Packages,Studio 4 Class Package,5251,5251,,5251,5251,4779,4779,4779,4779,4779,4642,4779,4779,4779,4779,4779,4779,4711,4460,,,,,4793,Average Unit Value (AUV),294
Average Unit Value (AUV),Kenkere House,Class Packages,Studio 8 Class Package,8400,9304,9359,9794,9468,8463,8518,8408,8518,8481,8408,8408,8496,7965,8850,8206,8850,8496,7788,,,,,8703,Average Unit Value (AUV),295
Average Unit Value (AUV),Kenkere House,Intro Offers,Studio Newcomers 2 For 1,1416,1416,1416,1345,1416,1298,1298,,,,,,,,,,,,,,,,,1395,Average Unit Value (AUV),296
Average Unit Value (AUV),Kenkere House,Others,Others,284,,,,2000,,,,,,,,,,,,,,,,,,,1142,Average Unit Value (AUV),297
Average Unit Value (AUV),Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,1,,,,,,1,Average Unit Value (AUV),298
Average Unit Value (AUV),Kenkere House,Privates,Studio Private Class,,,,,,,,,,,4632,,,,,,,,,,,,,4632,Average Unit Value (AUV),299
Average Unit Value (AUV),Kenkere House,Retail,Retail,457,309,368,452,309,584,593,525,805,589,375,574,438,636,304,324,442,272,103,,,,,438,Average Unit Value (AUV),300
Average Unit Value (AUV),Kenkere House,Sessions/Single Classes,Session,2164,1409,1662,1517,1416,,1298,1146,2411,1428,1098,1298,1298,1298,1298,1298,1298,1298,,,,,,1513,Average Unit Value (AUV),301
Average Unit Value (AUV),Kenkere House,Sessions/Single Classes,Studio Single Class,1407,1409,1416,1411,1412,1298,1292,1298,1298,1293,1298,1298,1298,1298,1298,1293,1298,1298,1298,,,,,1328,Average Unit Value (AUV),302
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,14261,14389,14270,12869,14619,13961,14230,14453,14626,14008,13753,14559,13382,13540,13382,12844,15281,14262,13447,,,,,13962,Average Unit Value (AUV),303
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,8496,8154,6785,7355,7000,7387,6785,7788,7788,7287,7645,7454,7150,7537,7454,7119,7282,6785,6785,,,,,7321,Average Unit Value (AUV),304
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,37949,35577,37949,37949,40321,41869,37903,39225,39666,44073,39666,39666,38931,35258,38197,37462,44073,37462,38784,,,,,38617,Average Unit Value (AUV),305
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,69296,,78535,,85668,68534,,,,,,64251,64251,,,,,,,,,,71756,Average Unit Value (AUV),306
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,22066,,,,,,,,,,,,,,,,,,,,,,22066,Average Unit Value (AUV),307
Average Unit Value (AUV),Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,175584,,,,,,,,,,,,,,133104,,133104,133104,,,,,143724,Average Unit Value (AUV),308
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,15930,15171,16520,15930,15930,12209,15694,15143,15143,14868,,14868,14868,16520,,,,,,13216,,13570,,14745,Average Unit Value (AUV),309
Average Unit Value (AUV),"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,16176,16316,16427,16161,16871,15730,15424,15362,14838,16343,15526,15212,15362,15072,15292,16343,16343,14475,15117,16343,16343,14872,14300,15704,Average Unit Value (AUV),310
